index,cap,line,content
73,2,7,"o escrito ficaria assim mais galante e mais novo. Moisés, que também"
74,2,8,"contou a sua morte, não a pôs no intróito, mas no cabo: diferença"
75,2,9,radical entre este livro e o Pentateuco.
76,2,10,"Dito isto, expirei às duas horas da tarde de uma sexta-feira do mês"
77,2,11,"de agosto de 1869, na minha bela chácara de Catumbi. Tinha uns"
78,2,12,"sessenta e quatro anos, rijos e prósperos, era solteiro, possuía cerca"
79,2,13,de trezentos contos e fui acompanhado ao cemitério por onze
80,2,14,amigos. Onze amigos! Verdade é que não houve cartas nem
81,2,15,"anúncios. Acresce que chovia — peneirava uma chuvinha miúda,"
82,2,16,"triste e constante, tão constante e tão triste, que levou um daqueles"
83,2,17,fiéis da última hora a intercalar esta engenhosa idéia no discurso que
84,2,18,"proferiu à beira de minha cova: — “Vós, que o conhecestes, meus"
85,2,19,"senhores, vós podeis dizer comigo que a natureza parece estar"
86,2,20,chorando a perda irreparável de um dos mais belos caracteres que
87,2,21,"têm honrado a humanidade. Este ar sombrio, estas gotas do céu,"
88,2,22,"aquelas nuvens escuras que cobrem o azul como um crepe funéreo,"
89,2,23,tudo isso é a dor crua e má que lhe rói à Natureza as mais íntimas
90,2,24,entranhas; tudo isso é um sublime louvor ao nosso ilustre finado.”
91,2,25,
92,2,26,"Bom e fiel amigo! Não, não me arrependo das vinte apólices que lhe"
93,2,27,deixei. E foi assim que cheguei à cláusula dos meus dias; foi assim
94,2,28,"que me encaminhei para o undiscovered country de Hamlet, sem as"
95,2,29,"ânsias nem as dúvidas do moço príncipe, mas pausado e trôpego"
96,2,30,como quem se retira tarde do espetáculo. Tarde e aborrecido.
97,2,31," Viram-me ir umas nove ou dez pessoas, entre elas três senhoras, minha"
98,2,32,"irmã Sabina, casada com o Cotrim, a filha, — um lírio do vale, — e..."
99,2,33,Tenham paciência! daqui a pouco lhes direi quem era a terceira
100,2,34,"senhora. Contentem-se de saber que essa anônima, ainda que não"
101,2,35,"parenta, padeceu mais do que as parentas. É verdade, padeceu mais."
102,2,36,"Não digo que se carpisse, não digo que se deixasse rolar pelo chão,"
103,2,37,convulsa. Nem o meu óbito era coisa altamente dramática... Um
104,2,38,"solteirão que expira aos sessenta e quatro anos, não parece que"
105,2,39,"reúna em si todos os elementos de uma tragédia. E dado que sim, o"
106,2,40,"que menos convinha a essa anônima era aparentá-lo. De pé, à"
107,2,41,"cabeceira da cama, com os olhos estúpidos, a boca entreaberta, a"
108,2,42,triste senhora mal podia crer na minha extinção.
109,2,43,
110,2,44,— “Morto! morto!” dizia consigo.
111,2,45,
112,2,46,"E a imaginação dela, como as cegonhas que um ilustre viajante viu"
113,2,47,"desferirem o vôo desde o Ilisso às ribas africanas, sem embargo das"
114,2,48,"ruínas e dos tempos, — a imaginação dessa senhora também voou"
115,2,49,por sobre os destroços presentes até às ribas de uma África juvenil...
116,2,50,Deixá-la ir; lá iremos mais tarde; lá iremos quando eu me restituir
117,2,51,"aos primeiros anos. Agora, quero morrer tranqüilamente,"
118,2,52,"metodicamente, ouvindo os soluços das damas, as falas baixas dos"
119,2,53,"homens, a chuva que tamborila nas folhas de tinhorão da chácara, e"
120,2,54,o som estrídulo de uma navalha que um amolador está afiando lá
121,2,55,"fora, à porta de um correeiro. Juro-lhes que essa orquestra da morte"
122,2,56,foi muito menos triste do que podia parecer. De certo ponto em
123,2,57,"diante chegou a ser deliciosa. A vida estrebuchava-me no peito, com"
124,2,58,"uns ímpetos de vaga marinha, esvaía-se-me a consciência, eu descia"
125,2,59,"à imobilidade física e moral, e o corpo fazia-se-me planta, e pedra e"
126,2,60,"lodo, e coisa nenhuma."
127,2,61,
128,2,62,Morri de uma pneumonia; mas se lhe disser que foi menos a
129,2,63,"pneumonia, do que uma idéia grandiosa e útil, a causa da minha"
130,2,64,"morte, é possível que o leitor me não creia, e todavia é verdade. Vou"
131,2,65,expor-lhe sumariamente o caso. Julgue-o por si mesmo.
132,2,66,
133,3,0,CAPÍTULO II / O EMPLASTO
134,3,1,"Com efeito, um dia de manhã, estando a passear na chácara,"
135,3,2,pendurou-se-me uma idéia no trapézio que eu tinha no cérebro. Uma
136,3,3,"vez pendurada, entrou a bracejar, a pernear, a fazer as mais"
137,3,4,"arrojadas cabriolas de volatim, que é possível crer. Eu deixei-me"
138,3,5,"estar a contemplá-la. Súbito, deu um grande salto, estendeu os"
139,3,6,"braços e as pernas, até tomar a forma de um X: decifra-me ou"
140,3,7,devoro-te.
141,3,8,
142,3,9,Essa idéia era nada menos que a invenção de um medicamento
143,3,10,"sublime, um emplastro anti-hipocondríaco, destinado a aliviar a nossa"
144,3,11,"melancólica humanidade. Na petição de privilégio que então redigi,"
145,3,12,"chamei a atenção do governo para esse resultado, verdadeiramente"
146,3,13,"cristão. Todavia, não neguei aos amigos as vantagens pecuniárias"
147,3,14,que deviam resultar da distribuição de um produto de tamanhos e tão
148,3,15,"profundos efeitos. Agora, porém, que estou cá do outro lado da vida,"
149,3,16,posso confessar tudo: o que me influiu principalmente foi o gosto de
150,3,17,"ver impressas nos jornais, mostradores, folhetos, esquinas, e enfim"
151,3,18,"nas caixinhas do remédio, estas três palavras: Emplasto Brás Cubas."
152,3,19,"Para que negá-lo? Eu tinha a paixão do arruído, do cartaz, do foguete"
153,3,20,"de lágrimas. Talvez os modestos me argúam esse defeito; fio, porém,"
154,3,21,"que esse talento me hão de reconhecer os hábeis. Assim, a minha"
155,3,22,"idéia trazia duas faces, como as medalhas, uma virada para o"
156,3,23,"público, outra para mim. De um lado, filantropia e lucro; de outro"
157,3,24,"lado, sede de nomeada. Digamos: — amor da glória."
158,3,25,
159,3,26,"Um tio meu, cônego de prebenda inteira, costumava dizer que o"
160,3,27,"amor da glória temporal era a perdição das almas, que só devem"
161,3,28,"cobiçar a glória eterna. Ao que retorquia outro tio, oficial de um dos"
162,3,29,"antigos terços de infantaria, que o amor da glória era a coisa mais"
163,3,30,"verdadeiramente humana que há no homem, e, conseguintemente, a"
164,3,31,sua mais genuína feição.
165,3,32,
166,3,33,Decida o leitor entre o militar e o cônego; eu volto ao emplasto.
167,3,34,
168,4,0,CAPÍTULO III / GENEALOGIA
169,4,1,"Mas, já que falei nos meus dois tios, deixem-me fazer aqui um curto"
170,4,2,esboço genealógico.
171,4,3,"O fundador da minha família foi um certo Damião Cubas, que"
172,4,4,"floresceu na primeira metade do século XVIII. Era tanoeiro de ofício,"
173,4,5,"natural do Rio de Janeiro, onde teria morrido na penúria e na"
174,4,6,"obscuridade, se somente exercesse a tanoaria. Mas não; fez-se"
175,4,7,"lavrador, plantou, colheu, permutou o seu produto por boas e"
176,4,8,"honradas patacas, até que morreu, deixando grosso cabedal a um"
177,4,9,"filho, licenciado Luís Cubas. Neste rapaz é que verdadeiramente"
178,4,10,começa a série de meus avós — dos avós que a minha família sempre
179,4,11,"confessou, — porque o Damião Cubas era afinal de contas um"
180,4,12,"tanoeiro, e talvez mau tanoeiro, ao passo que o Luís Cubas estudou"
181,4,13,"em Coimbra, primou no Estado, e foi um dos amigos particulares do"
182,4,14,vice-rei Conde da Cunha.
183,4,15,
184,4,16,"Como este apelido de Cubas lhe cheirasse excessivamente a tanoaria,"
185,4,17,"alegava meu pai, bisneto de Damião, que o dito apelido fora dado a"
186,4,18,"um cavaleiro, herói nas jornadas da África, em prêmio da façanha"
187,4,19,"que praticou, arrebatando trezentas cubas aos mouros. Meu pai era"
188,4,20,homem de imaginação; escapou à tanoaria nas asas de um
189,4,21,"calembour. Era um bom caráter, meu pai, varão digno e leal como"
190,4,22,"poucos. Tinha, é verdade, uns fumos de pacholice; mas quem não é"
191,4,23,um pouco pachola nesse mundo? Releva notar que ele não recorreu à
192,4,24,inventiva senão depois de experimentar a falsificação;
193,4,25,"primeiramente, entroncou-se na família daquele meu famoso"
194,4,26,"homônimo, o capitão-mor, Brás Cubas, que fundou a vila de São"
195,4,27,"Vicente, onde morreu em 1592, e por esse motivo é que me deu o"
196,4,28,"nome de Brás. Opôs-se-lhe, porém, a família do capitão-mor, e foi"
197,4,29,então que ele imaginou as trezentas cubas mouriscas.
198,4,30,
199,4,31,"Vivem ainda alguns membros de minha família, minha sobrinha"
200,4,32,"Venância, por exemplo, o lírio do vale, que é a flor das damas do seu"
201,4,33,"tempo; vive o pai, o Cotrim, um sujeito que... Mas não antecipemos"
202,4,34,os sucessos; acabemos de uma vez com o nosso emplasto.
203,4,35,
204,5,0,CAPÍTULO IV / A IDÉIA FIXA
205,5,1,"A minha idéia, depois de tantas cabriolas, constituíra-se idéia fixa."
206,5,2,"Deus te livre, leitor, de uma idéia fixa; antes um argueiro, antes uma"
207,5,3,trave no olho. Vê o Cavour; foi a idéia fixa da unidade italiana que o
208,5,4,matou. Verdade é que Bismarck não morreu; mas cumpre advertir
209,5,5,que a natureza é uma grande caprichosa e a história uma eterna
210,5,6,"loureira. Por exemplo, Suetônio deu-nos um Cláudio, que era um"
211,5,7,"simplório, — ou “uma abóbora” como lhe chamou Sêneca, e um Tito,"
212,5,8,que mereceu ser as delícias de Roma. Veio modernamente um
213,5,9,"professor e achou meio de demonstrar que dos dois césares, o"
214,5,10,"delicioso, o verdadeiro delicioso, foi o “abóbora” de Sêneca. E tu,"
215,5,11,"madama Lucrécia, flor dos Bórgias, se um poeta te pintou como a"
216,5,12,"Messalina católica, apareceu um Gregorovius incrédulo que te apagou"
217,5,13,"muito essa qualidade, e, se não vieste a lírio, também não ficaste"
218,5,14,pântano. Eu deixo-me estar entre o poeta e o sábio.
219,5,15,
220,5,16,"Viva pois a história, a volúvel história que dá para tudo; e, tornando"
221,5,17,"à idéia fixa, direi que é ela a que faz os varões fortes e os doidos; a"
222,5,18,"idéia móbil, vaga ou furta-cor é a que faz os Cláudios, — fórmula"
223,5,19,Suetônio.
224,5,20,
225,5,21,"Era fixa a minha idéia, fixa como... Não me ocorre nada que seja"
226,5,22,"assaz fixo nesse mundo: talvez a lua, talvez as pirâmides do Egito,"
227,5,23,talvez a finada dieta germânica. Veja o leitor a comparação que
228,5,24,"melhor lhe quadrar, veja-a e não esteja daí a torcer-me o nariz, só"
229,5,25,porque ainda não chegamos à parte narrativa destas memórias. Lá
230,5,26,"iremos. Creio que prefere a anedota à reflexão, como os outros"
231,5,27,"leitores, seus confrades, e acho que faz muito bem. Pois lá iremos."
232,5,28,
233,5,29,"Todavia, importa dizer que este livro é escrito com pachorra, com a"
234,5,30,"pachorra de um homem já desafrontado da brevidade do século, obra"
235,5,31,"supinamente filosófica, de uma filosofia desigual, agora austera, logo"
236,5,32,"brincalhona, coisa que não edifica nem destrói, não inflama nem"
237,5,33,"regala, e é todavia mais do que passatempo e menos do que"
238,5,34,apostolado.
239,5,35,
240,5,36,"Vamos lá; retifique o seu nariz, e tornemos ao emplasto. Deixemos a"
241,5,37,história com os seus caprichos de dama elegante. Nenhum de nós
242,5,38,"pelejou a batalha de Salamina, nenhum escreveu a confissão de"
243,5,39,"Augsburgo; pela minha parte, se alguma vez me lembro de"
244,5,40,"Cromwell, é só pela idéia de que Sua Alteza, com a mesma mão que"
245,5,41,"trancara o parlamento, teria imposto aos ingleses o emplasto Brás"
246,5,42,Cubas. Não se riam dessa vitória comum da farmácia e do
247,5,43,"puritanismo. Quem não sabe que ao pé de cada bandeira grande,"
248,5,44,"pública, ostensiva, há muitas vezes várias outras bandeiras"
249,5,45,"modestamente particulares, que se hasteiam e flutuam à sombra"
250,5,46,"daquela, e não poucas vezes lhe sobrevivem? Mal comparando, é"
251,5,47,"como a arraia-miúda, que se acolhia à sombra do castelo feudal; caiu"
252,5,48,"este e a arraia ficou. Verdade é que se fez graúda e castelã... Não, a"
253,5,49,comparação não presta.
254,5,50,
255,6,0,CAPÍTULO V / EM QUE APARECE A ORELHA DE UMA SENHORA
256,6,1,"Senão quando, estando eu ocupado em preparar e apurar a minha"
257,6,2,"invenção, recebi em cheio um golpe de ar; adoeci logo, e não me"
258,6,3,tratei. Tinha o emplasto no cérebro; trazia comigo a idéia fixa dos
259,6,4,"doidos e dos fortes. Via-me, ao longe, ascender do chão das turbas, e"
260,6,5,"remontar ao Céu, como uma águia imortal, e não é diante de tão"
261,6,6,excelso espetáculo que um homem pode sentir a dor que o punge. No
262,6,7,"outro dia estava pior; tratei-me enfim, mas incompletamente, sem"
263,6,8,"método, nem cuidado, nem persistência; tal foi a origem do mal que"
264,6,9,"me trouxe à eternidade. Sabem já que morri numa sexta-feira, dia"
265,6,10,"aziago, e creio haver provado que foi a minha invenção que me"
266,6,11,matou. Há demonstrações menos lúcidas e não menos triunfantes.
267,6,12,
268,6,13,"Não era impossível, entretanto, que eu chegasse a galgar o cimo de"
269,6,14,"um século, e a figurar nas folhas públicas, entre macróbios. Tinha"
270,6,15,"saúde e robustez. Suponha-se que, em vez de estar lançando os"
271,6,16,"alicerces de uma invenção farmacêutica, tratava de coligir os"
272,6,17,"elementos de uma instituição política, ou de uma reforma religiosa."
273,6,18,"Vinha a corrente de ar, que vence em eficácia o cálculo humano, e lá"
274,6,19,se ia tudo. Assim corre a sorte dos homens.
275,6,20,
276,6,21,"Com esta reflexão me despedi eu da mulher, não direi mais discreta,"
277,6,22,"mas com certeza mais formosa entre as contemporâneas suas, a"
278,6,23,"anônima do primeiro capítulo, a tal, cuja imaginação à semelhança"
279,6,24,"das cegonhas do Ilisso... Tinha então 54 anos, era uma ruína, uma"
280,6,25,"imponente ruína. Imagine o leitor que nos amamos, ela e eu, muitos"
281,6,26,"anos antes, e que um dia, já enfermo, vejo-a assomar à porta da"
282,6,27,alcova...
283,6,28,
284,7,0,"CAPÍTULO VI / CHIMÈNE, QUI L'EÛT DIT? RODRIGUE, QUI L'EÛT CRU?"
285,7,1,"Vejo-a assomar à porta da alcova, pálida, comovida, trajada de"
286,7,2,"preto, e ali ficar durante um minuto, sem ânimo de entrar, ou detida"
287,7,3,"pela presença de um homem que estava comigo. Da cama, onde"
288,7,4,"jazia, contemplei-a durante esse tempo, esquecido de lhe dizer nada"
289,7,5,"ou de fazer nenhum gesto. Havia já dois anos que nos não víamos, e"
290,7,6,"eu via-a agora não qual era, mas qual fora, quais fôramos ambos,"
291,7,7,porque um Ezequias misterioso fizera recuar o sol até os dias juvenis.
292,7,8,
293,7,9,"Recuou o sol, sacudi todas as misérias, e este punhado de pó, que a"
294,7,10,"morte ia espalhar na eternidade do nada, pôde mais do que o tempo,"
295,7,11,que é o ministro da morte. Nenhuma água de Juventa igualaria ali a
296,7,12,simples saudade.
297,7,13,
298,7,14,"Creiam-me, o menos mau é recordar; ninguém se fie da felicidade"
299,7,15,presente; há nela uma gota da baba de Caim. Corrido o tempo e
300,7,16,"cessado o espasmo, então sim, então talvez se pode gozar deveras,"
301,7,17,"porque entre uma e outra dessas duas ilusões, melhor é a que se"
302,7,18,gosta sem doer.
303,7,19,
304,7,20,Não durou muito a evocação; a realidade dominou logo; o presente
305,7,21,"expeliu o passado. Talvez eu exponha ao leitor, em algum canto"
306,7,22,"deste livro, a minha teoria das edições humanas. O que por agora"
307,7,23,importa saber é que Virgília — chamava-se Virgília — entrou na
308,7,24,"alcova, firme, com a gravidade que lhe davam as roupas e os anos, e"
309,7,25,"veio até o meu leito. O estranho levantou-se e saiu. Era um sujeito,"
310,7,26,"que me visitava todos os dias para falar do câmbio, da colonização e"
311,7,27,da necessidade de desenvolver a viação férrea; nada mais
312,7,28,interessante para um moribundo.
313,7,29,
314,7,30,Saiu; Virgília deixou-se estar de pé;
315,7,31,"durante algum tempo ficamos a olhar um para o outro, sem articular"
316,7,32,"palavra. Quem diria? De dois grandes namorados, de duas paixões"
317,7,33,"sem freio, nada mais havia ali, vinte anos depois; havia apenas dois"
318,7,34,"corações murchos, devastados pela vida e saciados dela, não sei se"
319,7,35,"em igual dose, mas enfim saciados. Virgília tinha agora a beleza da"
320,7,36,"velhice, um ar austero e maternal; estava menos magra do que"
321,7,37,"quando a vi, pela última vez, numa festa de São João, na Tijuca; e"
322,7,38,"porque era das que resistem muito, só agora começavam os cabelos"
323,7,39,escuros a intercalar-se com alguns fios de prata.
324,7,40,
325,7,41,"— Anda visitando os defuntos? disse-lhe eu. — Ora, defuntos!"
326,7,42,respondeu Virgília com um muxoxo. E depois de me apertar as mãos:
327,7,43,
328,7,44,— Ando a ver se ponho os vadios para a rua.
329,7,45,
330,7,46,Não tinha a carícia lacrimosa de outro tempo; mas a voz era amiga e
331,7,47,"doce. Sentou-se. Eu estava só, em casa, com um simples enfermeiro;"
332,7,48,"podíamos falar um ao outro, sem perigo. Virgília deu-me longas"
333,7,49,"notícias de fora, narrando-as com graça, com um certo travo de má"
334,7,50,"língua, que era o sal da palestra; eu, prestes a deixar o mundo,"
335,7,51,"sentia um prazer satânico em mofar dele, em persuadir-me que não"
336,7,52,deixava nada.
337,7,53,
338,7,54,— Que idéias essas! interrompeu-me Virgília um tanto zangada. Olhe
339,7,55,que não volto mais. Morrer! Todos nós havemos de morrer; basta
340,7,56,estarmos vivos.
341,7,57,E vendo o relógio:
342,7,58,
343,7,59,— Jesus! são três horas. Vou-me embora.
344,7,60,
345,7,61,— Já?
346,7,62,
347,7,63,— Já; virei amanhã ou depois.
348,7,64,
349,7,65,"— Não sei se faz bem, retorqui; o doente é um solteirão e a casa não"
350,7,66,tem senhoras...
351,7,67,
352,7,68,— Sua mana?
353,7,69,
354,7,70,"— Há de vir cá passar uns dias, mas não pode ser antes de sábado."
355,7,71,
356,7,72,"Virgília refletiu um instante, levantou os ombros e disse com"
357,7,73,gravidade:
358,7,74,
359,7,75,"— Estou velha! Ninguém mais repara em mim. Mas, para cortar"
360,7,76,"dúvidas, virei com o Nhonhô."
361,7,77,
362,7,78,"Nhonhô era um bacharel, único filho de seu casamento, que, na idade"
363,7,79,"de cinco anos, fora cúmplice inconsciente de nossos amores. Vieram"
364,7,80,"juntos, dois dias depois, e confesso que, ao vê-los ali, na minha"
365,7,81,"alcova, fui tomado de um acanhamento que nem me permitiu"
366,7,82,corresponder logo às palavras afáveis do rapaz. Virgília adivinhou-me
367,7,83,e disse ao filho:
368,7,84,
369,7,85,"— Nhonhô, não repares nesse grande manhoso que aí está; não quer"
370,7,86,falar para fazer crer que está à morte.
371,7,87,
372,7,88,"Sorriu o filho, eu creio que também sorri, e tudo acabou em pura"
373,7,89,"galhofa. Virgília estava serena e risonha, tinha o aspecto das vidas"
374,7,90,"imaculadas. Nenhum olhar suspeito, nenhum gesto que pudesse"
375,7,91,"denunciar nada; uma igualdade de palavra e de espírito, uma"
376,7,92,"dominação sobre si mesma, que pareciam e talvez fossem raras."
377,7,93,
378,7,94,"Como tocássemos, casualmente, nuns amores ilegítimos, meio"
379,7,95,"secretos, meio divulgados, vi-a falar com desdém e um pouco de"
380,7,96,"indignação da mulher de que se tratava, aliás sua amiga. O filho"
381,7,97,"sentia-se satisfeito, ouvindo aquela palavra digna e forte, e eu"
382,7,98,"perguntava a mim mesmo o que diriam de nós os gaviões, se Buffon"
383,7,99,tivesse nascido gavião...
384,7,100,
385,7,101,Era o meu delírio que começava.
386,7,102,
387,8,0,CAPÍTULO VII / O DELÍRIO
388,8,1,"Que me conste, ainda ninguém relatou o seu próprio delírio; faço-o"
389,8,2,"eu, e a ciência mo agradecerá. Se o leitor não é dado à contemplação"
390,8,3,"destes fenômenos mentais, pode saltar o capítulo; vá direito à"
391,8,4,"narração. Mas, por menos curioso que seja, sempre lhe digo que é"
392,8,5,interessante saber o que se passou na minha cabeça durante uns
393,8,6,vinte a trinta minutos.
394,8,7,"Primeiramente, tomei a figura de um barbeiro chinês, bojudo, destro,"
395,8,8,"escanhoando um mandarim, que me pagava o trabalho com beliscões"
396,8,9,e confeitos: caprichos de mandarim.
397,8,10,
398,8,11,"Logo depois, senti-me transformado na Suma Teológica de São"
399,8,12,"Tomás, impressa num volume, e encadernada em marroquim, com"
400,8,13,fechos de prata e estampas; idéia esta que me deu ao corpo a mais
401,8,14,"completa imobilidade; e ainda agora me lembra que, sendo as"
402,8,15,"minhas mãos os fechos do livro, e cruzando-as eu sobre o ventre,"
403,8,16,"alguém as descruzava (Virgília decerto), porque a atitude lhe dava a"
404,8,17,imagem de um defunto.
405,8,18,
406,8,19,"Ultimamente, restituído à forma humana, vi chegar um hipopótamo,"
407,8,20,"que me arrebatou. Deixei-me ir, calado, não sei se por medo ou"
408,8,21,"confiança; mas, dentro em pouco, a carreira de tal modo se tornou"
409,8,22,"vertiginosa, que me atrevi a interrogá-lo, e com alguma arte lhe"
410,8,23,disse que a viagem me parecia sem destino.
411,8,24,
412,8,25,"— Engana-se, replicou o animal, nós vamos à origem dos séculos."
413,8,26,
414,8,27,Insinuei que deveria ser muitíssimo longe; mas o hipopótamo não me
415,8,28,"entendeu ou não me ouviu, se é que não fingiu uma dessas coisas; e,"
416,8,29,"perguntando-lhe, visto que ele falava, se era descendente do cavalo"
417,8,30,"de Aquiles ou da asna de Balaão, retorquiu-me com um gesto"
418,8,31,peculiar a estes dois quadrúpedes: abanou as orelhas.
419,8,32,
420,8,33,Pela minha parte fechei os olhos e deixei-me ir à ventura. Já agora não se me dá
421,8,34,"de confessar que sentia umas tais ou quais cócegas de curiosidade,"
422,8,35,"por saber onde ficava a origem dos séculos, se era tão misteriosa"
423,8,36,"como a origem do Nilo, e sobretudo se valia alguma coisa mais ou"
424,8,37,menos do que a consumação dos mesmos séculos: reflexões de
425,8,38,"cérebro enfermo. Como ia de olhos fechados, não via o caminho;"
426,8,39,"lembra-me só que a sensação de frio aumentava com a jornada, e"
427,8,40,que chegou uma ocasião em que me pareceu entrar na região dos
428,8,41,gelos eternos.
429,8,42,
430,8,43,"Com efeito, abri os olhos e vi que o meu animal"
431,8,44,"galopava numa planície branca de neve, e vários animais grandes e"
432,8,45,de neve. Tudo neve; chegava a gelar-nos um sol de neve. Tentei
433,8,46,"falar, mas apenas pude grunhir esta pergunta ansiosa:"
434,8,47,
435,8,48,— Onde estamos?
436,8,49,
437,8,50,— Já passamos o Éden.
438,8,51,
439,8,52,— Bem; paremos na tenda de Abraão.
440,8,53,
441,8,54,— Mas se nós caminhamos para trás! redargüiu motejando a minha
442,8,55,cavalgadura.
443,8,56,
444,8,57,Fiquei vexado e aturdido. A jornada entrou e parecer-me enfadonha e
445,8,58,"extravagante, o frio incômodo, a condução violenta, e o resultado"
446,8,59,impalpável. E depois — cogitações do enfermo — dado que
447,8,60,"chegássemos ao fim indicado, não era impossível que os séculos,"
448,8,61,"irritados com lhes devassarem a origem, me esmagassem entre as"
449,8,62,"unhas, que deviam ser tão seculares como eles. Enquanto assim"
450,8,63,"pensava, íamos devorando caminho, e a planície voava debaixo dos"
451,8,64,"nossos pés, até que o animal estacou, e pude olhar mais"
452,8,65,"tranqüilamente em torno de mim. Olhar somente; nada vi, além da"
453,8,66,"imensa brancura da neve, que desta vez invadira o próprio céu, até"
454,8,67,"ali azul. Talvez, a espaços, me parecia uma ou outra planta, enorme,"
455,8,68,"brutesca, meneando ao vento as suas largas folhas. O silêncio"
456,8,69,daquela região era igual ao do sepulcro: dissera-se que a vida das
457,8,70,coisas ficara estúpida diante do homem.
458,8,71,
459,8,72,"Caiu do ar? destacou-se da terra? não sei; sei que um vulto imenso,"
460,8,73,"uma figura de mulher me apareceu então, fitando-me uns olhos"
461,8,74,rutilantes como o sol. Tudo nessa figura tinha a vastidão das formas
